,Name,Score,Location,Category,Rating,Price,Review_count,business_id
153,tacos tumbras a tomas,96.0,"317 S Broadway,Spc A-5,Grand Central Market,Los Angeles, CA 90013",mexican,4.0,1.0,1067,520Wd4FU_DixBprFQQnnxg
154,yuko curry bar,94.0,"125 W 5th St,Los Angeles, CA 90013",desserts,4.5,2.0,124,9XtBQXnnUL8npHtksdXNGw
155,la tostaderia,93.0,"317 S Broadway,Los Angeles, CA 90013",seafood,4.0,2.0,425,SsOlRN_7cKsHlek_RyohvQ
156,guisados,95.0,"2100 East Cesar E Chavez Ave,Los Angeles, CA 90033",mexican,4.5,1.0,2552,qpcH_Fub586U2kw_pQJS3w
157,lindo oaxaca,90.0,"322 E Washington Blvd,Los Angeles, CA 90015",mexican,4.5,2.0,81,37gMBHZA9OVE_tckoSRC4Q
158,hrb dtla,94.0,"529 W 6th St,Los Angeles, CA 90014",sushi,4.0,2.0,182,-2kcgcEpQL4YhBloldAQlg
159,tender greens,93.0,"505 W 6th St,PacMutual Building,Los Angeles, CA 90014",salad,3.5,2.0,442,1V-opbw-NvOlbWwVLBNwYg
160,crepes de paris,90.0,"123 S Figueroa St,Ste 122,Los Angeles, CA 90012",creperies,4.5,2.0,197,OSzx70nkKXjpsvB2B6wSvQ
161,hong kong jham phong,90.0,"735 E 12th St,Ste 405,Los Angeles, CA 90021",korean,3.0,1.0,22,uJsP8sLmdkA9-y7edDKBjQ
162,hama sushi,97.0,"347 E 2nd St,Los Angeles, CA 90012",sushi,4.0,2.0,1633,JMJWvgBKUO6_wOPtnTCPgQ
163,daebokjung,93.0,"2010 James M Wood Blvd,Los Angeles, CA 90006",korean,4.5,2.0,48,4fa2rkET8eT6sf9kUZx0jQ
164,la brisket,96.0,"736 N Broadway,Los Angeles, CA 90012",bbq,4.5,2.0,165,6RDro8iSto0thExOPC3SIw
165,katsu sando,95.0,"736 N Broadway,Ste 105,Los Angeles, CA 90012",sandwiches,4.5,2.0,246,oZG16DktFsm-Sl-KDSny_g
166,anwar's kitchen,99.0,"217 E 8th St,Los Angeles, CA 90014",mediterranean,4.5,,153,98nL1641VKFPGBjCjVlaNA
167,gyoza boyz dtla,96.0,"724 S Spring St,Corporation Food Hall,Los Angeles, CA 90014",japanese,3.5,,30,Vz-vcwRDwQLxlIgAUACu5A
168,dtla bodega,97.0,"650 S Spring St,Unit R2,Los Angeles, CA 90014",delis,4.5,,63,scAFYZFTI0Lu98N0Rs9nQw
169,aca grill,92.0,"1300 S San Pedro St,Ste 220,Los Angeles, CA 90015",bbq,4.5,2.0,42,Yji5SVINMP7c2KOmGeouwg
